cycle,partition,seed,E_star,mae_kappa,mae_sane
3,0,2028,21,2.2335233374911554,0.6251494268357753
3,0,2029,76,3.099256667648554,0.6049452140927316
3,0,2030,143,2.845632467401623,0.5568175145626068
3,0,2031,109,2.408781616211533,0.8875933715939522
3,0,2032,38,3.0257486984634405,0.5650986043572426
3,0,2033,64,2.363776683476568,0.6979309714674949
3,0,2034,34,2.5527425537896162,0.7003163107156753
3,0,2035,65,2.377533812630773,0.7207318714380262
3,0,2036,68,2.028681063174605,0.5495501978039743
3,0,2037,44,2.25209990329951,0.5812209575533867
3,0,2038,115,2.592506430774332,0.7000401139378546
3,0,2039,46,3.4767046261155605,0.5711356102705002
3,0,2040,57,2.4698622993588453,0.5042895118236541
3,0,2041,25,2.663557169636488,0.6431443847239017
3,0,2042,25,2.5792426980310683,0.6412535962045192
3,0,2043,109,2.574845122576355,0.5737926789045333
3,0,2044,94,2.66864449534446,0.5236984190702438
3,1,2025,94,1.5080214099994298,0.33639868465363965
3,1,2026,149,1.5819627834290264,0.3152416818410158
3,1,2027,78,1.387307663300335,0.4339354744687675
3,1,2028,94,1.380262180645764,0.3262269658133386
3,1,2029,106,1.345468278722762,0.32915050317198036
3,1,2030,85,1.6283746420601006,0.39335631012618527
3,1,2031,115,1.2040704947134855,0.5180982147902249
3,1,2032,80,1.4477783345907933,0.5179064860656857
3,1,2033,26,1.8888698755937825,0.6034172101050614
3,1,2034,75,1.4548745116302373,0.40727404631078234
3,1,2035,186,1.5848954015021026,0.3716496370345352
3,1,2036,194,1.4007190076258773,0.5370425782516598
3,1,2037,20,1.516880022317469,0.457976327678561
3,1,2038,87,1.3916577652895448,0.5148231509655712
3,1,2039,45,1.389575653941034,0.30112209177017196
3,1,2040,34,1.3453779093462228,0.4039278067559001
3,1,2041,89,1.562879159364104,0.4553629252493382
3,1,2042,46,1.361797209112645,0.40542627585083224
3,1,2043,61,1.0131362166035176,0.3881680297948419
3,1,2044,66,1.0583217589783662,0.4061013404890894
3,2,2025,79,3.1688360503393413,0.8375059806257485
3,2,2026,106,3.0306873638242484,0.9522567433774473
3,2,2027,13,2.814775242612362,0.7222654628157615
3,2,2028,126,2.8339785514092446,1.082419751033187
3,2,2029,33,4.085381181116999,1.029926734288782
3,2,2030,40,1.8340629957574606,0.8978516371265052
3,2,2031,75,2.9714200217008586,0.9239802158474919
3,2,2032,60,3.2112137356072665,1.2526498380959035
3,2,2033,118,4.502618734768032,1.1730434979677198
3,2,2034,161,2.8173753424322596,0.8731260870218278
3,2,2035,119,3.5208448725354664,1.0287619387090206
3,2,2036,47,4.2084021379494665,1.4331437535986302
3,2,2037,26,3.4608431093800065,1.134136442822218
3,2,2038,75,3.738691992021203,1.0709729600083087
3,2,2039,104,3.5318630528217554,1.2485137419253585
3,2,2040,175,4.562478670863212,1.122676200437546
3,2,2041,37,3.2010464744836087,0.8544772000253202
3,2,2042,187,3.6148115383535617,1.009275640177727
3,2,2043,44,3.4316110201704504,0.8067086254045366
3,2,2044,12,2.173533231717944,0.5347063079953195
